Precinct,KEITH JUDD                            ,MICHAEL STEINBERG                     ,BERNIE SANDERS                        ,WILLIE WILSON                         ,ROQUE DE LA FUENTE                    ,HILLARY CLINTON                       ,HENRY HEWES                           ,WRITE-IN                              ,OVER VOTES                            ,UNDER VOTES                           ,TOTALS
8023240,0,1,109,2,0,95,1,0,0,9,217
8023313,4,2,120,4,0,131,2,1,0,13,277
8023423,0,2,104,1,0,92,1,0,0,4,204
8023519,0,0,84,0,0,121,1,1,0,8,215
8023542,2,1,94,2,0,171,0,0,0,11,281
8023637,0,1,98,1,0,166,1,0,0,5,272
8023680,0,1,125,0,0,160,0,1,0,10,297
8023733,2,4,112,2,0,194,0,0,0,7,321
8023769,2,3,119,2,1,134,1,1,0,8,271
8023879,1,1,116,2,0,133,1,0,0,8,262
8023905,0,1,70,0,0,104,0,0,0,6,181
8023970,1,1,78,0,1,115,0,1,0,1,198
8024148,2,1,90,1,0,127,0,1,0,7,229
8024182,1,0,57,1,0,60,0,0,0,4,123
8024352,0,1,93,2,2,111,0,0,0,11,220
8024500,1,0,74,0,0,111,0,0,0,4,190
8024557,0,1,105,0,0,143,0,0,0,4,253
8024651,1,2,92,0,1,123,0,0,1,1,221
8024669,1,2,110,0,0,114,1,0,0,0,228
8024684,1,1,72,1,0,93,0,0,0,3,171
8024739,1,2,131,1,0,147,1,0,0,6,289
8024801,0,4,158,1,0,148,1,0,0,8,320
8024874,0,1,123,1,0,157,0,0,0,7,289
8024908,0,0,131,0,0,146,0,0,0,5,282
8024927,1,0,66,1,0,113,0,0,0,8,189
8025011,0,0,45,0,0,52,0,0,0,0,97
8025076,2,1,112,1,0,121,0,0,0,1,238
8025155,2,2,98,0,0,125,1,0,0,5,233
8025234,0,1,77,0,0,97,2,0,0,7,184
8025432,0,0,140,0,0,137,0,0,0,9,286
8025501,0,1,80,1,0,126,0,1,0,7,216
8025536,1,2,86,1,0,144,0,0,0,5,239
8025588,1,2,134,0,1,185,0,0,0,8,331
8025696,0,3,100,0,0,160,0,0,0,10,273
8025703,0,0,44,0,0,115,0,0,0,2,161
8025741,0,0,71,1,0,113,0,0,0,12,197
8025812,3,1,83,1,0,117,1,0,0,1,207
8025845,0,2,87,0,0,112,0,0,0,3,204
8025919,0,1,119,0,0,174,1,0,0,4,299
8025935,0,4,157,0,0,169,0,0,2,9,341
8025990,0,0,83,0,0,88,0,0,0,6,177
8026086,0,0,71,0,0,69,0,0,0,7,147
8026171,0,2,102,1,1,98,0,1,0,8,213
8026413,0,0,122,1,0,121,2,0,0,2,248
8026442,1,0,74,1,0,121,0,0,0,1,198
8026538,0,0,72,0,0,79,0,1,0,8,160
8026597,0,0,75,0,2,93,0,0,0,7,177
8026625,2,0,119,0,0,156,0,0,0,8,285
8026715,4,2,108,1,0,161,0,0,0,7,283
8026747,3,1,82,1,0,116,0,0,0,5,208
8026808,0,5,128,1,0,135,0,0,1,7,277
8026830,0,3,111,0,0,141,0,0,0,7,262
8026916,0,2,134,0,0,157,0,0,0,8,301
8026978,0,1,77,0,1,111,1,0,0,7,198
8027046,0,0,86,1,0,123,1,0,0,2,213
8027098,0,1,88,0,0,105,0,0,0,1,195
8027100,0,0,120,0,1,115,1,0,0,3,240
8027212,0,2,91,1,0,111,0,0,0,5,210
8027223,0,0,84,1,1,88,1,0,0,10,185
8027305,4,1,149,1,0,190,0,0,0,7,352
8027320,0,0,104,1,0,100,0,0,0,3,208
8027506,0,1,148,0,0,103,0,0,0,3,255
8027627,1,1,110,0,0,209,0,0,0,9,330
8027648,0,0,161,4,0,170,0,0,0,9,344
8027719,0,0,164,0,0,192,1,0,0,4,361
8027721,0,0,97,0,0,121,1,0,0,0,219
8027971,0,1,72,0,0,167,0,0,0,9,249
8028014,0,1,123,1,0,193,0,0,0,3,321
8028200,0,2,98,0,0,156,1,0,0,2,259
8028299,0,1,39,1,0,114,0,0,0,0,155
8028368,0,0,100,0,0,126,1,0,0,2,229
8028392,3,3,130,0,1,160,1,0,0,9,307
8028417,0,0,69,1,0,107,1,0,0,2,180
8028530,0,0,95,1,0,212,1,0,0,8,317
8028656,2,0,142,0,1,234,1,0,1,12,393
8028773,0,1,77,1,0,174,0,2,0,6,261
8028809,2,1,65,0,0,145,0,0,0,5,218
8028939,1,0,90,1,0,190,0,0,0,1,283
8029043,0,2,113,0,0,108,0,0,0,1,224
8029128,0,0,102,2,0,115,2,0,0,5,226
8029298,1,0,113,0,0,216,1,1,0,9,341
8029434,1,1,147,0,0,175,0,0,0,5,329
8029462,0,1,119,2,0,153,0,0,0,10,285
8029661,1,1,66,1,0,172,1,0,0,4,246
8029825,0,0,57,0,0,111,0,0,0,4,172
8029848,0,1,82,0,0,163,1,0,0,6,253
8031066,2,1,82,1,0,113,1,0,0,6,206
8031082,0,0,51,0,0,61,0,0,0,3,115
8031193,0,1,107,2,0,132,0,1,0,7,250
8031271,2,1,95,2,0,142,0,0,0,11,253
8031348,0,3,116,0,1,136,0,0,0,5,261
8031432,2,0,80,1,0,66,0,0,0,4,153
8031461,1,2,101,2,0,110,0,0,0,6,222
8031538,1,2,62,0,0,87,1,0,0,11,164
8031574,0,2,114,1,0,115,0,1,0,4,237
8031631,0,1,71,0,0,81,0,0,0,6,159
8031662,0,2,77,0,0,84,0,2,0,9,174
8031765,0,1,76,4,0,68,0,0,1,3,153
8031839,1,0,83,2,0,104,0,0,0,6,196
8031900,0,0,91,3,0,123,0,0,0,3,220
8031994,0,0,65,0,0,73,0,0,0,9,147
8032101,0,0,79,1,0,80,0,0,0,5,165
8032206,1,0,91,0,1,81,0,0,0,6,180
8032435,0,3,83,1,0,93,2,0,0,9,191
8032554,0,1,73,0,0,87,1,0,1,13,176
8032773,0,0,86,0,0,106,1,0,0,5,198
8032872,1,2,121,1,0,105,0,0,0,5,235
8033108,1,0,55,1,0,119,0,0,0,3,179
8033126,0,0,98,2,0,132,2,0,0,5,239
8033227,0,1,106,1,0,210,0,0,0,13,331
8033480,0,1,44,0,0,94,0,0,0,4,143
8033529,0,0,75,0,0,91,0,0,0,3,169
8033713,0,1,91,0,0,81,0,0,0,7,180
8033774,0,1,123,3,0,131,0,0,0,5,263
8033818,0,1,96,0,0,155,0,0,0,9,261
8033997,0,0,110,0,0,173,2,0,0,5,290
8034064,0,0,81,1,0,116,0,0,0,5,203
8034180,0,1,156,0,1,155,1,0,0,4,318
8034322,0,0,92,0,0,147,0,0,0,9,248
8034410,0,2,108,0,0,139,0,0,0,8,257
8034452,1,0,90,0,1,102,1,0,0,9,204
8034600,0,1,114,3,3,169,0,0,0,10,300
8034824,0,0,121,0,0,169,1,0,0,9,300
8035127,1,1,73,0,0,89,0,0,0,7,171
8035215,0,0,66,0,0,79,0,0,0,5,150
8035260,0,0,60,1,0,67,0,0,0,7,135
8035402,1,0,100,2,0,81,0,0,0,9,193
8035500,1,0,134,1,1,145,0,0,0,8,290
8035636,1,3,123,1,1,190,0,0,0,11,330
8035797,0,0,90,1,0,144,0,0,0,8,243
8035852,0,0,78,1,0,97,0,0,0,4,180
8035886,1,0,86,0,0,128,0,0,0,1,216
8036005,0,0,118,0,1,147,0,0,0,8,274
8036104,1,1,137,0,1,131,0,1,0,5,277
8036274,0,0,93,1,0,79,2,0,0,10,185
8036389,0,1,110,1,0,123,0,1,1,5,242
8036407,0,2,83,1,0,121,0,0,0,10,217
8036433,0,1,103,0,0,144,0,0,0,4,252
8036556,0,0,94,0,0,133,0,0,0,6,233
8036602,0,1,58,0,0,75,0,0,0,4,138
8036645,0,1,80,1,1,126,1,1,0,3,214
8036781,0,0,76,0,0,114,2,0,0,7,199
8036844,0,0,47,1,0,72,0,0,0,3,123
8036973,1,0,84,0,0,146,0,0,0,9,240
8037109,0,0,122,1,1,121,0,1,0,4,250
8037138,0,0,142,1,0,154,2,0,0,6,305
8037258,0,2,110,2,0,177,0,0,0,4,295
8037296,0,1,98,0,0,130,0,0,0,2,231
8038113,1,0,78,1,0,108,0,1,0,8,197
8038570,0,0,102,0,0,172,0,0,0,7,281
8039027,0,0,88,1,0,81,0,0,0,1,171
8039226,0,0,91,0,1,129,0,0,0,3,224
8039423,0,1,85,0,0,119,0,0,0,2,207
8039471,0,1,61,0,0,113,0,0,0,7,182
8039508,0,0,86,0,0,140,0,1,0,4,231
8039704,0,0,94,0,0,120,0,0,0,0,214
8041017,0,0,75,0,0,139,0,0,0,3,217
8041028,0,0,30,0,0,29,0,0,0,0,59
8041216,0,0,203,0,0,140,1,0,0,4,348
8041262,0,1,196,0,0,147,0,1,0,1,346
8041321,1,0,97,0,1,135,1,1,0,4,240
8041378,0,1,161,1,0,181,0,0,1,2,347
8041519,0,0,249,1,0,200,0,0,0,2,452
8041560,1,1,193,0,1,146,0,0,0,0,342
8041661,1,1,241,0,1,203,0,0,0,4,451
8041686,0,0,220,0,0,170,0,0,0,1,391
8041722,0,2,117,0,0,156,0,1,0,4,280
8041769,0,0,180,1,0,99,0,0,0,1,281
8041818,0,1,128,1,0,89,0,0,0,2,221
8041899,1,1,174,0,0,114,0,0,0,2,292
8041976,0,0,230,0,1,167,0,0,0,4,402
8042016,0,2,152,0,0,230,1,0,0,4,389
8042155,2,0,160,1,0,204,0,1,0,6,374
8042258,0,0,126,1,0,211,0,0,0,4,342
8042297,0,2,128,0,1,200,0,0,0,4,335
8042324,0,2,157,0,1,231,0,0,0,6,397
8042351,1,1,163,1,0,266,1,0,0,3,436
8042509,0,0,148,0,0,301,0,1,0,8,458
8042605,2,1,169,1,0,256,0,0,2,8,439
8042735,0,0,80,0,0,88,0,0,0,3,171
8042821,0,1,188,1,1,225,0,0,0,6,422
8042854,0,1,149,0,1,120,0,0,0,0,271
8042960,0,3,162,0,0,189,0,2,1,6,363
8042979,0,1,235,2,0,229,0,0,0,11,478
8042984,1,1,173,0,0,142,0,0,0,5,322
8043148,0,1,147,0,0,218,2,0,0,11,379
8043242,0,1,131,0,0,207,0,0,0,7,346
8043329,0,0,15,0,0,8,0,0,0,0,23
8043400,0,1,167,0,0,238,0,0,0,5,411
8043439,0,1,134,0,0,350,1,0,0,7,493
8043614,0,2,167,0,0,130,1,0,0,7,307
8043738,0,1,123,0,0,116,0,0,0,3,243
8043845,1,1,81,1,0,123,1,1,0,15,224
8044013,0,0,130,0,0,171,0,0,0,9,310
8044059,0,0,67,0,0,107,0,0,2,1,177
8044158,0,2,169,1,0,303,0,1,0,8,484
8044191,0,0,55,0,0,101,0,1,0,0,157
8044209,0,0,147,1,0,126,1,0,0,1,276
8044274,0,0,184,1,0,321,0,0,0,3,509
8044310,0,0,199,0,0,268,0,0,0,5,472
8044507,0,0,136,0,0,204,0,0,0,4,344
8044520,1,1,128,4,0,248,0,0,0,8,390
8044549,0,1,178,1,0,358,0,0,0,6,544
8044601,2,0,145,1,0,170,0,0,0,3,321
8044625,1,3,130,0,0,185,0,1,0,4,324
8044663,1,0,103,0,0,213,0,0,0,3,320
8044706,0,1,164,0,0,259,0,0,0,6,430
8044757,0,0,67,0,0,118,0,0,1,7,193
8044804,0,2,194,1,1,192,0,0,1,5,396
8044903,1,2,157,2,0,172,0,0,0,5,339
8044970,2,4,100,1,0,146,0,0,0,6,259
8045015,0,0,154,0,1,122,0,0,0,4,281
8045058,0,2,219,0,1,134,0,0,1,3,360
8045107,0,0,81,0,0,89,1,0,0,2,173
8045164,0,1,92,0,0,84,1,0,0,0,178
8045241,0,0,128,0,1,103,0,1,0,7,240
8045314,0,1,79,0,0,135,0,0,0,3,218
